sentence,tag
"['paroxysmal', 'supraventricular', 'tachycardia', 'during', 'treatment', 'with', 'cisplatin', 'and', 'etoposide', 'combination', '.']","['I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'O']"
"['hypersensitivity', 'to', 'carboplatin', 'has', 'been', 'reported', 'in', 'up', 'to', '44', '%', 'of', 'patients', 'receiving', 'this', 'antineoplastic', 'agent', ',', 'usually', 'occurring', 'after', 'several', 'courses', 'of', 'treatment', '.']","['I-Problem', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Background', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'O']"
"['conclusion', ':', 'a', '26', '-', 'year', '-', 'old', 'man', 'with', 'bipolar', 'disorder', 'developed', 'hyperammonemia', 'three', 'weeks', 'after', 'initiating', 'carbamazepine', 'therapy', '.']","['O', 'O', 'O', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'O', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'I-Other', 'I-Other', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O']"
"['the', 'patient', 'having', 'recovered', 'from', 'covid', 'last', 'month', ',', 'is', 'still', 'experiencing', 'fatigue', '.']","['O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Other', 'I-Other', 'O', 'O', 'O', 'O', 'I-Problem', 'O']"
"['antithrombin', 'iii', 'may', 'provide', 'protection', 'from', 'multiorgan', 'failure', 'and', 'improve', 'survival', 'in', 'severely', 'ill', 'patients', '.']","['I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O']"
"['a', 'patient', 'with', 'psoriasis', 'is', 'described', 'who', 'had', 'an', 'abnormal', 'response', 'to', 'the', 'glucose', 'tolerance', 'test', 'without', 'other', 'evidence', 'of', 'diabetes', 'and', 'then', 'developed', 'postprandial', 'hyperglycemia', 'and', 'glycosuria', 'during', 'a', 'period', 'of', 'topical', 'administration', 'of', 'a', 'corticosteroid', 'cream', ',', 'halcinonide', 'cream', '0', '.', '1', '%', ',', 'under', 'occlusion', '.']","['O', 'O', 'O', 'I-Problem', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Test', 'I-Test', 'I-Test', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'O', 'O', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O']"
"['decreased', 'serum', 'linezolid', 'levels', 'in', 'a', 'critically', 'ill', 'patient', 'receiving', 'concomitant', 'linezolid', 'and', 'rifampin', '.']","['I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'O']"
"['we', 'describe', 'a', 'patient', 'with', 'wilson', ""'"", 's', 'disease', 'who', 'presented', 'with', 'neurologic', 'disease', ',', 'was', 'treated', 'with', 'd', '-', 'penicillamine', ',', 'and', 'suffered', 'sudden', 'neurologic', 'deterioration', 'coincident', 'with', 'therapy', '.']","['O', 'O', 'O', 'O', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'I-Background', 'I-Background', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O']"
"['discussion', ':', 'a', 'review', 'of', 'the', 'cases', 'of', 'ss', 'with', 'implication', 'of', 'mirtazapine', 'as', 'the', 'cause', 'was', 'performed', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'O', 'O', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O']"
"['drug', 'eruption', 'caused', 'by', 'azathioprine', ':', 'value', 'of', 'using', 'the', 'drug', '-', 'induced', 'lymphocytes', 'stimulation', 'test', 'for', 'diagnosis', '.']","['I-Problem', 'I-Problem', 'O', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Test', 'I-Test', 'I-Test', 'I-Test', 'I-Test', 'O', 'O', 'O']"
"['we', 'report', 'a', 'case', 'admitted', 'with', 'a', 'first', '-', 'detected', ',', 'symptomatic', 'paroxysmal', 'atrial', 'fibrillation', 'in', 'a', 'healthy', 'patient', 'after', 'self', '-', 'medication', 'with', 'vardenafil', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Background', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'O']"
"['because', 'the', 'cerebellar', 'toxicity', 'may', 'be', 'worsened', 'by', 'continuation', 'of', 'therapy', 'after', 'initial', 'onset', 'of', 'symptoms', ',', 'prompt', 'termination', 'of', 'hdarac', 'is', 'recommended', '.']","['O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'O', 'O', 'O']"
"['although', 'transient', 'increases', 'in', 'ectopy', 'after', 'bretylium', 'therapy', 'have', 'been', 'described', ',', 'presumably', 'due', 'to', 'catecholamine', 'release', ',', 'the', 'occurrence', 'of', 'life', '-', 'threatening', 'ventricular', 'arrhythmia', 'leading', 'to', 'cardiac', 'arrest', 'has', 'not', 'previously', 'been', 'emphasized', '.']","['O', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'O']"
"['we', 'describe', 'a', 'case', 'of', 'poisoning', 'with', '3', ',', '4', '-', 'methylenedioxymet', '-', 'amphetamine', 'ecstasy', 'that', 'presented', 'with', 'all', 'the', 'features', 'suggestive', 'of', 'a', 'fatal', 'outcome', ',', 'including', 'a', 'creatinine', 'phosphokinase', 'level', 'markedly', 'higher', 'than', 'any', 'previously', 'reported', '.']","['O', 'O', 'O', 'I-Background', 'O', 'I-Problem', 'O', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Test', 'I-Test', 'I-Test', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'O']"
"['the', 'patient', ""'"", 's', 'defects', 'may', 'be', 'due', 'to', 'methimazole', 'teratogenicity', 'or', 'could', 'represent', 'a', 'previously', 'undescribed', 'syndrome', 'affecting', 'ectodermal', 'structures', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['conclusion', ':', 'this', 'report', 'describes', 'a', 'case', 'of', 'a', 'probable', 'interaction', 'between', 'topical', 'econazole', 'lotion', '1', '%', 'and', 'acenocoumarol', 'that', 'resulted', 'in', 'overanticoagulation', 'and', 'a', 'life', '-', 'threatening', 'laryngeal', 'hematoma', 'in', 'this', 'elderly', 'patient', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'O', 'I-Treatment', 'O', 'O', 'O', 'I-Problem', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Background', 'O', 'O']"
"['this', 'is', 'the', 'first', 'report', 'of', 'pulmonary', 'hypertension', 'in', 'an', 'adult', 'patient', 'during', 'lithium', 'therapy', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Background', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O']"
"['conclusions', ':', 'cefazolin', 'was', 'a', 'probable', 'cause', 'of', 'this', 'patient', ""'"", 's', 'leukopenia', '.']","['O', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'O']"
"['risks', 'and', 'benefits', 'of', 'co', '-', 'treatment', 'should', 'be', 'carefully', 'considered', 'and', 'therapeutic', 'alternatives', 'to', 'nsaids', 'should', 'be', 'recommended', 'to', 'patients', 'with', 'central', 'di', 'in', 'order', 'to', 'improve', 'ddavp', 'safety', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O']"
"['the', 'association', 'with', 'prolonged', 'unopposed', 'estrogen', '-', 'like', 'stimulation', 'with', 'tamoxifen', 'as', 'a', 'possible', 'factor', 'in', 'the', 'development', 'of', 'ovarian', 'endometrioid', 'carcinoma', 'is', 'discussed', '.']","['O', 'O', 'O', 'I-Other', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'O']"
"['rhabdomyolysis', 'has', 'been', 'reported', 'in', 'patients', 'receiving', 'hydroxymethylglutaryl', 'coenzyme', 'a', '(', 'hmg', '-', 'coa', ')', 'reductase', 'inhibitors', 'when', 'coadministered', 'with', 'agents', 'that', 'may', 'inhibit', 'their', 'metabolism', '.']","['I-Problem', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O']"
"['so', 'far', ',', 'few', 'cases', 'of', 'pulmonary', 'side', 'effects', 'caused', 'by', 'ticlopidine', 'have', 'been', 'reported', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Treatment', 'O', 'O', 'O', 'O']"
"['to', 'our', 'knowledge', ',', 'this', 'recurrence', 'of', 'amiodarone', 'pulmonary', 'toxicity', 'has', 'not', 'been', 'reported', 'previously', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'O']"
"['subacute', 'cholestatic', 'hepatitis', 'likely', 'related', 'to', 'the', 'use', 'of', 'senna', 'for', 'chronic', 'constipation', '.']","['I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'I-Treatment', 'O', 'I-Treatment', 'O', 'I-Problem', 'I-Problem', 'O']"
"['ectropion', 'secondary', 'to', 'bolus', 'injection', 'of', '5', '-', 'fluorouracil', '.']","['I-Problem', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O']"
"['azathioprine', 'can', 'cause', 'severe', 'myelosuppression', '.']","['I-Treatment', 'O', 'O', 'I-Problem', 'I-Problem', 'O']"
"['in', 'this', 'paper', ',', 'we', 'report', 'a', 'case', 'of', '3', 'years', '-', 'old', 'boy', 'who', 'developed', 'acute', 'onset', 'tetraparesia', 'following', 'a', 'viral', 'respiratory', 'infecction', 'and', 'hepatitis', 'b', 'vaccination', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O']"
"['torsade', 'de', 'pointes', 'associated', 'with', 'moxifloxacin', ':', 'a', 'rare', 'but', 'potentially', 'fatal', 'adverse', 'event', '.']","['I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['the', 'case', 'of', 'a', 'patient', 'with', 'infectious', 'mononucleosis', 'treated', 'with', 'cephalexin', 'who', 'later', 'showed', 'a', 'rash', 'is', 'presented', 'and', 'the', 'previous', 'literature', 'is', 'reviewed', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['therefore', ',', 'amantadine', 'was', 'permanently', 'discontinued', 'and', 'the', 'cornea', 'cleared', 'again', '.']","['O', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O']"
"['findings', ':', 'six', 'children', 'with', 'growth', 'retardation', 'noted', 'after', 'treatment', 'with', 'high', '-', 'dose', 'fluticasone', 'propionate', 'were', 'found', 'to', 'have', 'adrenal', 'suppression', '.']","['O', 'O', 'O', 'I-Background', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O']"
"['the', 'fifth', 'patient', 'exhibited', 'paraesthesia', 'and', 'agitation', 'caused', 'by', 'olanzapine', 'that', 'was', 'misdiagnosed', 'as', 'psychotic', 'agitation', '.']","['O', 'I-Background', 'O', 'O', 'I-Problem', 'O', 'I-Problem', 'O', 'O', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['heparin', '-', 'induced', 'thrombocytopenia', 'complicated', 'with', 'massive', 'thrombosis', 'of', 'the', 'inferior', 'vena', 'cava', 'after', 'filter', 'placement', '.']","['I-Treatment', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'O']"
"['a', 'patient', 'with', 'intracranial', 'osteosarcoma', 'that', 'arose', '16', 'years', 'after', 'radiation', 'therapy', 'for', 'hereditary', 'retinoblastoma', 'developed', 'fatal', 'cerebral', 'edema', 'and', 'brainstem', 'herniation', 'after', 'she', 'received', 'a', 'single', 'dose', 'of', 'intravenous', 'methotrexate', '.']","['O', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'I-Background', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'I-Other', 'I-Other', 'O', 'I-Treatment', 'I-Treatment', 'O']"
"['secondary', 'leukemia', 'in', 'a', 'child', 'with', 'neuroblastoma', 'while', 'on', 'oral', 'etoposide', ':', 'what', 'is', 'the', 'cause', '?']","['I-Problem', 'I-Problem', 'O', 'O', 'I-Background', 'O', 'I-Problem', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O']"
"['even', 'after', 'a', 'strict', 'warning', ',', 'he', 'took', 'another', 'quinine', 'tablet', 'that', 'evening', ',', 'which', 'triggered', 'his', 'fifth', 'episode', 'of', 'severe', 'thrombocytopenia', ',', 'and', 'confirmed', 'the', 'etiology', 'of', 'quinine', '-', 'induced', 'thrombocytopenia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['although', 'use', 'of', 'the', 'naranjo', 'adverse', 'reaction', 'probability', 'scale', 'indicated', 'a', 'probable', 'relationship', '(', 'score', 'of', '6', ')', 'between', 'the', 'patient', ""'"", 's', 'development', 'of', 'methotrexate', 'toxicity', 'and', 'omeprazole', 'use', ',', 'we', 'believe', 'this', 'was', 'a', 'drug', '-', 'drug', 'interaction', 'case', 'consistent', 'with', 'previous', 'reports', 'in', 'the', 'literature', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'I-Test', 'I-Test', 'I-Test', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'I-Problem', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['pseudomembranous', 'colitis', 'readily', 'occurs', 'in', 'at', 'least', 'certain', 'population', 'groups', 'receiving', 'trimethoprim', '-', 'sulfamethoxazole', '.']","['I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'I-Background', 'I-Background', 'I-Background', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O']"
"['objective', ':', 'to', 'report', 'a', 'case', 'of', 'chronic', ',', 'nonproductive', 'cough', 'secondary', 'to', 'the', 'angiotensin', '-', 'converting', 'enzyme', '(', 'ace', ')', 'inhibitor', 'quinapril', ',', 'with', 'complete', 'resolution', 'after', 'switching', 'to', 'another', 'ace', 'inhibitor', ',', 'fosinopril', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'O', 'I-Problem', 'I-Problem', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'O']"
"['because', 'the', 'combination', 'of', 'bleomycin', 'and', 'vinca', 'alkaloids', 'is', 'commonly', 'used', 'for', 'the', 'treatment', 'of', 'aids', '-', 'related', 'kaposi', ""'"", 's', 'sarcoma', ',', 'clinicians', 'should', 'be', 'aware', 'of', 'the', 'risk', 'of', 'provoking', 'acral', 'necrosis', 'in', 'patients', 'who', 'develop', 'raynaud', ""'"", 's', 'phenomenon', 'under', 'chemotherapy', '.']","['O', 'O', 'O', 'O', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'O', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O']"
"['a', 'case', 'of', 'siadh', 'induced', 'by', 'mizoribin', 'administration', '.']","['O', 'I-Background', 'O', 'I-Problem', 'O', 'O', 'I-Treatment', 'I-Treatment', 'O']"
"['we', 'reported', 'a', 'case', 'of', 'disulfiram', '-', 'induced', 'hepatitis', 'with', 'unique', 'clinical', 'features', 'and', 'compared', 'our', 'case', 'with', 'others', 'in', 'the', 'literature', '.']","['O', 'O', 'O', 'I-Background', 'O', 'I-Treatment', 'O', 'O', 'I-Problem', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['anhedonic', 'ejaculation', 'with', 'desipramine', '.']","['I-Problem', 'I-Problem', 'O', 'I-Treatment', 'O']"
"['after', 'three', 'weeks', 'of', 'carbamazepine', 'therapy', ',', 'the', 'patient', 'arrived', 'at', 'the', 'emergency', 'department', '(', 'ed', ')', 'with', 'severe', 'agitation', 'and', 'aggressive', 'behavior', '.']","['I-Treatment', 'I-Other', 'I-Other', 'O', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'I-Problem', 'I-Problem', 'O']"
"['prolongation', 'of', 'the', 'qt', 'interval', 'observed', 'in', 'a', 'japanese', 'patient', 'with', 'vivax', 'malaria', 'following', 'treatment', 'with', 'halofantrine', '.']","['I-Problem', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'I-Background', 'O', 'O', 'I-Problem', 'I-Problem', 'O', 'O', 'O', 'I-Treatment', 'O']"
"['nevirapine', 'is', 'a', 'non', '-', 'nucleoside', 'reverse', 'transcriptase', 'inhibitor', 'widely', 'used', 'in', 'combination', 'with', 'other', 'antiretroviral', 'agents', 'for', 'the', 'treatment', 'of', 'hiv', 'infection', '.']","['I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'I-Treatment', 'O', 'I-Treatment', 'I-Treatment', 'I-Treatment', 'O', 'O', 'O', 'O', 'I-Problem', 'I-Problem', 'O']"
